,static method,naive method,dynamic method
10 passengers,0.40523628822800134,0.3861622945592153,0.39327221844323773
15 passengers,0.5722077400421721,0.5614094123653826,0.5764901692138101
20 passengers,0.5624722681222625,0.5340247019164804,0.5485863060315853
25 passengers,0.5424693865640863,0.5148110828200025,0.5087147692692418
30 passengers,0.5406643996776428,0.5078172143860805,0.5105385797333744
35 passengers,0.5462478429237997,0.49567771699262475,0.5074273865938753
40 passengers,0.5331551186869908,0.48806697984061675,0.48009583138315814
45 passengers,0.5423133938999081,0.5022285950948943,0.5236984156352588
50 passengers,0.5018947499335027,0.4569825801884097,0.4662263789701998
55 passengers,0.5086522377567246,0.44462157466578034,0.45851230613937644
60 passengers,0.5109379190387544,0.4714566027417905,0.48411386254277516
65 passengers,0.5039024077654889,0.47018204242759615,0.44916781509669695
70 passengers,0.5055782071076897,0.4466567106548205,0.4407872201646913
75 passengers,0.5012875007009412,0.41757492330077467,0.4461848338660193
80 passengers,0.4843026400865246,0.4462567636201124,0.44347328126653746
85 passengers,0.4965998236063927,0.441984054045623,0.4228699496231201
90 passengers,0.49131501659580834,0.4539022973147306,0.4572030440611419
95 passengers,0.5020187718376783,0.4164805226228013,0.45014562090707894
100 passengers,0.4875917486037319,0.4368558843412284,0.4363842740680762
105 passengers,0.4706881533332108,0.4275636748035729,0.43091866193003553
110 passengers,0.4996921854768396,0.41747914289240345,0.44604259109116573
115 passengers,0.4838319625375515,0.4173929948757168,0.4243228868681166
120 passengers,0.48692313547326366,0.4189639742704315,0.41201231062856863
125 passengers,0.48502796556803235,0.44295335698073585,0.4346675267142537
130 passengers,0.45899924088123,0.41922226093957254,0.40346958446139514
135 passengers,0.48082684125465325,0.4282526753458395,0.4287385791160745
140 passengers,0.4592853669755169,0.4039741367073455,0.4176549384815708
145 passengers,0.4726010065668474,0.3931664930834748,0.40671217923888964
150 passengers,0.4794348264377311,0.41097080591524876,0.4083597952545262
