,static method,naive method,dynamic method
10 passengers,0.4131976000952473,0.45023948077532017,0.4601964059296709
15 passengers,0.4333727221850827,0.4170023496649036,0.4084080716615766
20 passengers,0.425142339275994,0.47618674303717173,0.40548128815465867
25 passengers,0.41473486484864897,0.38347004165735915,0.38969643555502337
30 passengers,0.3700090937399176,0.3996265301387918,0.3977974847628572
35 passengers,0.3614017890196631,0.37336410542843856,0.407146959078255
40 passengers,0.36085956172161315,0.38933709233385844,0.41504707590760914
45 passengers,0.3324569317682974,0.36398429964515927,0.3816206074680078
50 passengers,0.30674087359524893,0.3491339134866152,0.4015298709617865
55 passengers,0.314763520897054,0.3650532623328418,0.3955742578779969
60 passengers,0.3105822629419947,0.3611987178455975,0.3862786274441825
65 passengers,0.2804327011816878,0.3547403094182879,0.4104725202344783
70 passengers,0.28857317997796056,0.3313818297884789,0.4000678483402791
75 passengers,0.2820587905102268,0.3329627339493938,0.4221228580704094
80 passengers,0.3091607709687253,0.34351428952362234,0.42002957232785026
85 passengers,0.33831457127475806,0.335069901608048,0.43314378135529596
90 passengers,0.35358845676910544,0.3103333041661728,0.4076369040974616
95 passengers,0.32140181240919513,0.3015426449203092,0.4123127010715469
100 passengers,0.30151749764034125,0.3037596894455356,0.4391262708113391
105 passengers,0.3074026375750337,0.29016417356396323,0.45999013907459746
110 passengers,0.3113592878177336,0.29041844348478657,0.44519770871287795
115 passengers,0.31659776421097874,0.2933105012013846,0.45694226928893417
120 passengers,0.2982746562128351,0.29965104807595516,0.4858025703200276
125 passengers,0.3125941268218451,0.29910306615446763,0.4860760118289119
130 passengers,0.31868619008162075,0.2886667899065433,0.48479759697252994
135 passengers,0.32942082812789203,0.27053434240560403,0.4830096235005737
140 passengers,0.3162294488045629,0.27195530788381755,0.48156338133738674
145 passengers,0.34303303915064304,0.2820802554006546,0.5041609948066325
150 passengers,0.3372131509737827,0.28054643128908224,0.5120118571732154
