,static method,naive method,dynamic method
10 passengers,39.71327804689761,46.03847469182838,45.111307831294226
15 passengers,38.76027318576548,46.386518344863944,43.4413845505724
20 passengers,40.38595077371482,47.79779628616719,41.79856127962186
25 passengers,37.35653378612069,45.03323411683333,42.74269849817645
30 passengers,35.3954881601046,44.491034908287915,40.963419501169874
35 passengers,34.18902500768249,43.21449511083529,41.01899648261213
40 passengers,34.16128291122822,44.26948659079076,42.07299576973893
45 passengers,31.99138056618688,43.436286959784965,39.609118664408314
50 passengers,29.99644183465728,41.999239331456124,39.21535296176888
55 passengers,28.52353081721272,42.37696812132954,38.228480035231996
60 passengers,28.441489685027598,42.212881246507,38.55993547620281
65 passengers,26.589608037062842,42.47184989126784,38.31442272219735
70 passengers,25.44853816851911,41.96399478273897,37.104111039645225
75 passengers,24.507584381073606,42.038215623540474,37.502734640859
80 passengers,25.63113184422303,42.68114658185396,37.66916235526947
85 passengers,24.565565184174137,42.1712055996101,37.640419975687976
90 passengers,24.929349367636426,42.595509525986635,37.29592872092326
95 passengers,24.4819345778413,42.386145403003106,36.928705471108955
100 passengers,26.668577975700405,42.349809724093774,38.166846784021324
105 passengers,26.974650429906593,42.67136779886265,38.43153333534765
110 passengers,27.22134313402474,42.95592834774429,38.34913107195323
115 passengers,27.890095158601913,43.60002228309702,39.461137610216625
120 passengers,30.434996257787294,45.295613028455804,41.13589354211219
125 passengers,30.89369966173589,45.347618085410026,41.74602522727332
130 passengers,30.968157662780143,45.24150755652171,41.27626100671424
135 passengers,32.065397285487315,45.18072160765157,42.72627106972981
140 passengers,33.53025302082491,46.72181613954054,43.35545758145504
145 passengers,34.52901095743291,47.524896842447774,44.23705621311948
150 passengers,35.61347781956184,47.413781796531865,45.486715978880234
