,static method,naive method,dynamic method
10 passengers,16.565765450372655,14.209632579581875,14.7872687853712
15 passengers,13.92903133563775,12.992721969532745,12.151980208969482
20 passengers,25.188259051161943,22.728698937255714,24.92668003415751
25 passengers,16.47607507569641,15.153763732142014,13.065380302614384
30 passengers,18.82898679049326,18.53593211825574,16.534462284009326
35 passengers,18.867614872747524,17.394924754817524,15.293945799754887
40 passengers,19.29629800551393,20.601826768370262,19.090015168110725
45 passengers,16.143151520336286,12.993199745891081,11.637508898978185
50 passengers,22.472783391732232,20.57010342436699,18.240599543713945
55 passengers,19.21764088409293,17.799255667083578,17.246481626727633
60 passengers,28.065730178815695,14.574478155654992,17.01239925285823
65 passengers,14.812099974428387,20.397322185251042,16.139867024987687
70 passengers,23.592817512035765,22.809094419904074,22.30912566930176
75 passengers,18.351194417704296,21.006269926799437,17.36898027206721
80 passengers,30.976493540648896,23.46414413062845,24.047732359485526
85 passengers,22.057041784837445,20.33621823208333,16.20527024252139
90 passengers,24.80557747880471,25.062988624712332,16.30888433811297
95 passengers,23.852781285247108,22.839234176244624,24.606389859162878
100 passengers,32.358174334425115,27.805967311144666,24.19282331690786
105 passengers,20.017554211609795,16.48856116002876,16.80061444168411
110 passengers,20.747509126072902,25.499931324095407,16.819596855095075
115 passengers,24.95687644136358,29.427240800007432,23.048107062031086
120 passengers,17.737415632074732,24.57490531958876,18.625770656565233
125 passengers,29.0780634604347,27.11499010512936,24.096031190488013
130 passengers,32.86628345448183,30.65104325994537,29.878299832878895
135 passengers,25.86130630552191,25.932198493524382,22.25213581980948
140 passengers,27.220344280639534,26.705276953680603,18.795491291324733
145 passengers,26.73520769920691,27.24688067739386,23.12224514704679
150 passengers,36.91000687692084,28.060952300039453,22.73652520502557
