,static method,naive method,dynamic method
10 passengers,0.878041519854344,1.302249608384175,1.2006557921334626
15 passengers,1.1001070963974358,1.3509910128732585,1.1061497283255226
20 passengers,1.36775277490818,1.9295932916332945,1.2801766334060785
25 passengers,1.387385436110534,1.5201861924472775,1.4096866298022295
30 passengers,1.279781758518847,1.7035891478856091,1.5432612151434588
35 passengers,1.205546455410966,2.2388181081467278,1.526378926895754
40 passengers,1.4180106021203214,2.0586474838720665,2.0555389048942327
45 passengers,1.3220167992912246,1.961276917325838,1.5092875207878031
50 passengers,1.2403505866891698,1.874417420724074,1.553195762270812
55 passengers,1.3021605178335116,2.4868513447400233,2.05090971117095
60 passengers,1.4655698631483487,2.5305065194094456,1.9755211280099298
65 passengers,1.3864191273569035,2.3379364397874847,2.01504804497489
70 passengers,1.4908102796476117,1.903513385985996,2.0572131553320774
75 passengers,1.3046427548661732,2.2719395732756382,2.409577638683717
80 passengers,2.0350902994522824,2.5281714110538736,2.352478899275145
85 passengers,2.2599934077055637,2.638430749245657,2.947051420266078
90 passengers,2.279433204678002,2.2186900077575094,2.850383891053875
95 passengers,2.1065742830466494,1.9096406950784752,2.5397873199199736
100 passengers,1.996806601236562,2.4050771605542867,2.7965847084677113
105 passengers,1.8020412839771465,1.8473922382691272,2.9929355674617772
110 passengers,1.918667133636936,1.9907006889800032,3.2860764116246077
115 passengers,1.845530915193268,2.1405358610165073,3.0163157215654466
120 passengers,1.9925520208082974,2.707834571000265,3.2379946414927594
125 passengers,1.9442093752221625,2.50799023263456,3.4965607287677054
130 passengers,1.969105536528314,2.4091997185819287,4.0713500110318925
135 passengers,2.1320969964622707,2.0044643463894567,3.3089919200749645
140 passengers,2.317084547494638,2.136577748017783,3.5354689421290106
145 passengers,2.5344157076599463,2.8019196308057315,4.012062278174704
150 passengers,2.2892759903034734,2.991080108183902,3.933895207183971
