,static method,naive method,dynamic method
10 passengers,0.5940599187381713,0.651649554286177,0.6033021570581784
15 passengers,0.6214863664264291,0.6178009331179004,0.6251058862845371
20 passengers,0.6132567850629429,0.5859671244389815,0.5809160623066496
25 passengers,0.5686547052797858,0.5571317508448633,0.5630075582072853
30 passengers,0.5841399727840252,0.551209603304892,0.534080306184169
35 passengers,0.5772186410655455,0.5215937843549695,0.5232947607357727
40 passengers,0.5696306849436427,0.516462085918811,0.5144692806884346
45 passengers,0.5848200740168488,0.523613853952015,0.5481202976824591
50 passengers,0.5339148075774439,0.48505658697010234,0.4890396068488929
55 passengers,0.5387672430991078,0.4663792012679312,0.4861231716576645
60 passengers,0.5431836305918568,0.48573882157097603,0.5207898464532927
65 passengers,0.545487568926536,0.4966527340742912,0.47133995981444754
70 passengers,0.5432655045633609,0.4591192427622065,0.4550749437128155
75 passengers,0.5364686221938731,0.4311915834428124,0.46495968219340483
80 passengers,0.5279383719329812,0.45344081553550264,0.4734436546045856
85 passengers,0.5254825906663305,0.4540843899562673,0.43921409736384126
90 passengers,0.5321429006881009,0.47633391699184563,0.4814112720406094
95 passengers,0.544647574955393,0.44314927129012144,0.47989890189812934
100 passengers,0.5129100940833617,0.44839888916723164,0.46637767518051404
105 passengers,0.49322138558695033,0.4378820194606272,0.4444063413803263
110 passengers,0.5318910713148145,0.43772029707493687,0.46805912950183665
115 passengers,0.5207249223233323,0.4352459465221115,0.44537920519785834
120 passengers,0.500269108083264,0.42812512824522736,0.4126088034262293
125 passengers,0.5074154326335047,0.45657750678338943,0.4431535060429627
130 passengers,0.4869826451096275,0.4426212290119956,0.3994093828325307
135 passengers,0.48964241720838647,0.45238888451510617,0.44735292577132607
140 passengers,0.49166325747173795,0.41610816384542176,0.42042913642010726
145 passengers,0.49296263534023377,0.3852785501664412,0.39945567095536916
150 passengers,0.5257313193498755,0.4200831606831878,0.40964143807257003
