,static method,naive method,dynamic method
10 passengers,0.42191000982330246,0.32215888122418807,0.4109121001966247
15 passengers,0.4026967434963592,0.3130910913939002,0.4003838951318405
20 passengers,0.3541629238007079,0.3485365534675561,0.31702330631532977
25 passengers,0.34566534150311184,0.27655720735371864,0.2989428469816445
30 passengers,0.30631600530753705,0.27039475533927326,0.2995477913056564
35 passengers,0.2934487671292292,0.25776075082009914,0.3035695184722806
40 passengers,0.290906825304923,0.245201738427756,0.29907719861695986
45 passengers,0.2615726280363171,0.24160790940677412,0.2762388025381684
50 passengers,0.24355826616684767,0.24594184474986308,0.30393812285536514
55 passengers,0.2523202300693316,0.24724330899684394,0.29138282151918904
60 passengers,0.23647591863851372,0.2298721503848808,0.2458048811261729
65 passengers,0.21766350016944724,0.22693176742149576,0.28679649943212554
70 passengers,0.21592809015493195,0.22736841985310718,0.2677152725436667
75 passengers,0.21393188437452387,0.22238907964602048,0.26308126085273204
80 passengers,0.21349180400364529,0.22105438150036408,0.2761415820689263
85 passengers,0.21028718036523858,0.20771079926945965,0.25562407693230904
90 passengers,0.2254448807463229,0.2034343912042675,0.25254758096768165
95 passengers,0.21414520469113338,0.20348258170034103,0.24952781913933614
100 passengers,0.1976250056502776,0.2027886260358404,0.27382891001789533
105 passengers,0.20845631880088616,0.20339855642956814,0.2816768010530424
110 passengers,0.21319186677717258,0.19465847953030913,0.26127116226514135
115 passengers,0.2169070573076671,0.19143411692116644,0.2803580114657752
120 passengers,0.19806841972887526,0.2023811716372153,0.2979683831877381
125 passengers,0.2101563438679384,0.1975435081317728,0.2907901344758564
130 passengers,0.20198666702702495,0.1916049224308143,0.27668639739757783
135 passengers,0.20564482322370561,0.18099676860383412,0.29860387211677064
140 passengers,0.19474878941181498,0.1835434914754765,0.2835434411936866
145 passengers,0.20692059535194085,0.17815855725935933,0.29161850607557865
150 passengers,0.21396947504562694,0.1775756832267671,0.2977809930040046
